X	fragments	sample
33x25	35104	Bladder111
13x20	54655	Bladder111
5x67	31255	Bladder111
1x63	24124	Bladder111
8x9	35534	Bladder111
12x21	48535	Bladder111
65x10	35740	Bladder111
42x59	25500	Bladder111
58x64	18535	Bladder111
16x46	25626	Bladder111
72x68	64790	Bladder111
19x45	50381	Bladder111
8x31	33693	Bladder111
12x67	19914	Bladder111
52x67	28721	Bladder111
65x21	45122	Bladder111
72x49	32448	Bladder111
8x47	27441	Bladder111
30x31	46861	Bladder111
20x44	33821	Bladder111
10x66	13421	Bladder111
4x67	28253	Bladder111
49x43	48614	Bladder111
67x35	34394	Bladder111
38x63	19430	Bladder111
4x57	24279	Bladder111
16x34	47716	Bladder111
10x11	26112	Bladder111
23x19	55108	Bladder111
70x43	103816	Bladder111
12x13	40386	Bladder111
19x63	14318	Bladder111
4x13	55125	Bladder111
15x14	58894	Bladder111
67x56	19702	Bladder111
10x28	39842	Bladder111
53x40	45543	Bladder111
7x21	65784	Bladder111
13x3	46574	Bladder111
14x47	36559	Bladder111
61x68	34130	Bladder111
50x62	14447	Bladder111
3x25	71898	Bladder111
43x68	64305	Bladder111
62x21	67659	Bladder111
7x43	57272	Bladder111
48x17	55963	Bladder111
34x21	32454	Bladder111
55x26	51429	Bladder111
16x54	12391	Bladder111
72x23	41991	Bladder111
16x32	31414	Bladder111
5x36	49540	Bladder111
14x40	46915	Bladder111
45x25	47724	Bladder111
6x14	64741	Bladder111
6x40	66272	Bladder111
30x46	36452	Bladder111
47x60	15744	Bladder111
30x35	31842	Bladder111
57x32	33365	Bladder111
20x38	23019	Bladder111
62x44	30656	Bladder111
57x21	48255	Bladder111
19x13	47504	Bladder111
49x30	39388	Bladder111
1x59	49705	Bladder111
7x47	33761	Bladder111
61x55	24553	Bladder111
21x6	13149	Bladder111
13x6	26987	Bladder111
8x53	25607	Bladder111
3x42	35317	Bladder111
57x58	26747	Bladder111
38x27	52330	Bladder111
17x27	48848	Bladder111
39x56	19799	Bladder111
29x8	18087	Bladder111
32x57	7833	Bladder111
30x9	19983	Bladder111
13x40	46343	Bladder111
17x18	63172	Bladder111
48x37	30470	Bladder111
50x2	34353	Bladder111
18x55	2861	Bladder111
23x34	37500	Bladder111
25x37	30872	Bladder111
60x62	15383	Bladder111
56x35	29086	Bladder111
42x46	30757	Bladder111
15x8	33427	Bladder111
49x68	44626	Bladder111
4x54	48475	Bladder111
64x61	14649	Bladder111
15x1	46795	Bladder111
18x67	3840	Bladder111
45x64	19702	Bladder111
45x46	36828	Bladder111
13x35	26930	Bladder111
5x25	65770	Bladder111
33x52	18309	Bladder111
22x17	30693	Bladder111
11x8	35836	Bladder111
51x38	28366	Bladder111
33x39	72827	Bladder111
63x51	12647	Bladder111
18x29	9785	Bladder111
24x20	45365	Bladder111
48x16	81007	Bladder111
19x20	31705	Bladder111
37x67	58495	Bladder111
60x36	28958	Bladder111
61x65	11534	Bladder111
18x50	4861	Bladder111
65x16	47583	Bladder111
23x25	49969	Bladder111
35x61	9069	Bladder111
64x46	41988	Bladder111
62x56	26792	Bladder111
72x45	30101	Bladder111
45x37	27471	Bladder111
15x15	44177	Bladder111
31x60	11153	Bladder111
16x45	20340	Bladder111
20x48	28164	Bladder111
12x35	16609	Bladder111
34x22	28533	Bladder111
12x26	49255	Bladder111
19x62	16557	Bladder111
11x33	25311	Bladder111
33x67	25853	Bladder111
31x18	39240	Bladder111
29x52	13159	Bladder111
49x32	42287	Bladder111
22x2	15771	Bladder111
8x35	40047	Bladder111
37x48	117387	Bladder111
21x25	46568	Bladder111
20x31	30628	Bladder111
14x52	14208	Bladder111
47x12	46240	Bladder111
48x60	19565	Bladder111
40x24	32997	Bladder111
1x53	51363	Bladder111
15x68	26711	Bladder111
65x63	8279	Bladder111
1x56	61605	Bladder111
33x22	38536	Bladder111
49x33	40660	Bladder111
53x19	37529	Bladder111
49x6	23687	Bladder111
38x71	20670	Bladder111
24x54	17638	Bladder111
63x21	36458	Bladder111
13x31	40242	Bladder111
2x38	47281	Bladder111
54x55	18841	Bladder111
50x1	59458	Bladder111
48x15	76694	Bladder111
5x9	43583	Bladder111
6x37	42451	Bladder111
50x56	20691	Bladder111
13x36	22955	Bladder111
32x50	40840	Bladder111
1x18	126238	Bladder111
37x33	89953	Bladder111
52x17	31776	Bladder111
56x1	72533	Bladder111
65x2	44012	Bladder111
11x50	43406	Bladder111
7x49	19567	Bladder111
13x61	10229	Bladder111
56x27	34542	Bladder111
9x15	39580	Bladder111
52x13	32395	Bladder111
4x33	65135	Bladder111
58x44	33588	Bladder111
70x8	42558	Bladder111
1x72	285546	Bladder111
36x34	31741	Bladder111
16x44	22157	Bladder111
41x53	17735	Bladder111
16x66	15798	Bladder111
48x3	30590	Bladder111
66x55	24687	Bladder111
4x40	63171	Bladder111
66x31	42591	Bladder111
1x71	101944	Bladder111
21x71	19987	Bladder111
25x31	34249	Bladder111
47x8	25860	Bladder111
51x33	37966	Bladder111
17x7	43878	Bladder111
59x37	29781	Bladder111
40x1	99838	Bladder111
65x15	42734	Bladder111
8x6	27051	Bladder111
10x29	41589	Bladder111
27x1	52357	Bladder111
10x64	13292	Bladder111
28x68	28159	Bladder111
13x11	33992	Bladder111
3x30	50821	Bladder111
37x9	68414	Bladder111
67x25	67791	Bladder111
31x56	8460	Bladder111
29x15	34087	Bladder111
48x47	48665	Bladder111
51x19	42022	Bladder111
27x26	42419	Bladder111
19x53	17571	Bladder111
53x49	22937	Bladder111
60x21	43701	Bladder111
39x29	63755	Bladder111
26x23	45479	Bladder111
51x52	15862	Bladder111
32x4	16940	Bladder111
44x2	26313	Bladder111
50x13	46628	Bladder111
53x17	41397	Bladder111
70x56	35969	Bladder111
34x18	28654	Bladder111
37x47	84222	Bladder111
59x62	10901	Bladder111
29x22	41106	Bladder111
8x30	35053	Bladder111
58x40	56173	Bladder111
67x60	14440	Bladder111
6x55	27833	Bladder111
55x36	25006	Bladder111
54x53	16385	Bladder111
18x36	8484	Bladder111
42x35	59814	Bladder111
13x24	35901	Bladder111
27x52	13678	Bladder111
27x43	36287	Bladder111
38x16	79069	Bladder111
32x20	29063	Bladder111
25x16	48978	Bladder111
44x50	35427	Bladder111
32x59	11585	Bladder111
48x39	51352	Bladder111
32x54	14274	Bladder111
46x23	24693	Bladder111
52x65	13809	Bladder111
57x56	19746	Bladder111
11x12	39460	Bladder111
51x4	17274	Bladder111
41x29	47925	Bladder111
24x46	57681	Bladder111
39x22	56176	Bladder111
50x69	27270	Bladder111
3x71	32737	Bladder111
56x70	11007	Bladder111
66x51	15802	Bladder111
29x29	42853	Bladder111
25x39	37802	Bladder111
51x20	51648	Bladder111
62x6	43986	Bladder111
20x53	14575	Bladder111
49x57	14201	Bladder111
66x11	38726	Bladder111
9x16	45962	Bladder111
43x16	71324	Bladder111
61x42	26732	Bladder111
13x59	13807	Bladder111
10x2	14763	Bladder111
66x60	12712	Bladder111
34x3	29896	Bladder111
5x10	50832	Bladder111
7x26	91371	Bladder111
30x62	16201	Bladder111
11x5	25267	Bladder111
24x4	17930	Bladder111
61x57	30354	Bladder111
36x6	10126	Bladder111
41x70	26298	Bladder111
3x19	53678	Bladder111
55x37	27419	Bladder111
30x66	18272	Bladder111
48x12	57497	Bladder111
47x54	18761	Bladder111
40x43	82197	Bladder111
70x44	48567	Bladder111
8x12	34669	Bladder111
70x2	95229	Bladder111
21x16	44111	Bladder111
16x57	12289	Bladder111
14x46	37679	Bladder111
52x37	26166	Bladder111
60x41	30860	Bladder111
45x57	17165	Bladder111
58x27	75039	Bladder111
10x23	35251	Bladder111
42x71	12969	Bladder111
37x57	26242	Bladder111
39x70	47497	Bladder111
32x47	35419	Bladder111
24x23	37375	Bladder111
66x36	24366	Bladder111
52x33	37380	Bladder111
12x41	31541	Bladder111
40x61	20730	Bladder111
33x34	31220	Bladder111
33x10	17916	Bladder111
20x27	32127	Bladder111
39x57	31561	Bladder111
59x16	47441	Bladder111
67x14	106058	Bladder111
42x60	21675	Bladder111
59x65	13428	Bladder111
58x11	51492	Bladder111
23x21	67350	Bladder111
18x25	7154	Bladder111
40x9	42280	Bladder111
39x45	64997	Bladder111
57x26	59985	Bladder111
9x1	60710	Bladder111
5x47	37453	Bladder111
70x25	108504	Bladder111
29x69	22404	Bladder111
42x45	37121	Bladder111
60x61	14442	Bladder111
9x27	57637	Bladder111
28x6	15578	Bladder111
2x19	49176	Bladder111
3x2	36482	Bladder111
55x58	25621	Bladder111
17x35	53977	Bladder111
11x38	51759	Bladder111
22x68	26803	Bladder111
29x36	25530	Bladder111
25x7	28218	Bladder111
39x2	65835	Bladder111
65x9	48489	Bladder111
34x5	20774	Bladder111
17x13	36186	Bladder111
48x36	33883	Bladder111
17x2	18550	Bladder111
1x58	57612	Bladder111
14x21	45569	Bladder111
10x12	32213	Bladder111
44x49	24688	Bladder111
25x15	44248	Bladder111
8x42	41303	Bladder111
1x41	113155	Bladder111
2x56	25130	Bladder111
32x69	16771	Bladder111
48x61	14090	Bladder111
42x65	23027	Bladder111
66x2	63689	Bladder111
22x29	35627	Bladder111
65x67	19787	Bladder111
21x70	17592	Bladder111
40x39	102989	Bladder111
16x38	20902	Bladder111
